	slide1	slide2	slide3	slide4	slide5	slide6	slide7	slide8	slide9	slide10
GENE237	7,057025	7,92358	8,495201	7,563461	6,911099	7,765802	7,549168	8,325699	7,413416	7,49499
GENE238	6,927532	7,422937	7,797274	6,693559	6,552959	6,791672	7,602049	7,652038	7,38834	7,001548
GENE239	7,400934	7,057613	8,400878	7,666233	6,487638	7,314633	7,193514	6,912103	8,071814	7,267089
GENE240	6,171602	5,667398	5,772248	5,59634	5,59712	5,846135	5,814998	5,807081	5,956408	5,622796
GENE241	5,140567	5,809635	5,369353	5,406036	4,838233	5,425907	5,268364	6,120309	5,347346	5,240303
GENE242	6,971974	5,788543	6,27496	6,584955	6,241808	6,123867	5,973354	5,789469	6,799614	6,309065
GENE243	5,467074	6,364739	5,782831	5,920325	5,602142	6,096957	5,827762	6,647732	5,52818	5,832149
GENE244	4,406701	4,540448	4,460876	4,384486	4,246714	4,39872	4,369351	4,487839	4,406245	4,46042
GENE245	7,190711	9,30317	7,797646	8,854278	8,57874	8,503721	8,479072	9,678429	8,074071	8,874705
GENE246	3,923503	4,044193	3,664872	4,189497	3,62905	3,695459	3,891236	4,06527	3,678363	3,866087
GENE247	6,082152	6,364811	6,389182	6,333624	6,30399	6,409796	6,073421	6,275842	6,077437	6,258806
GENE248	8,815509	8,505852	9,293042	8,794973	9,271019	8,98424	9,30389	8,645177	9,194379	8,973431
GENE249	6,378104	7,136359	6,294242	6,761437	6,730718	6,913276	6,701732	7,391464	6,316802	6,825583
GENE250	4,117572	4,23602	4,108971	4,207983	4,028354	4,101204	4,407128	4,039822	4,184846	4,172726
